customer_state,n,mean_tau,p90_tau,top10_share
RS,6164,3.0694829315099543,8.877360887647958,0.34782608695652173
AC,90,0.49332398109276815,9.483702277237303,0.14444444444444443
MG,12929,0.47723422729494946,7.345239934275551,0.1016319900997757
SP,46739,0.3586704723734658,7.803176456048571,0.10911658358116348
AP,81,0.1870967738629299,7.744729262222899,0.16049382716049382
AM,162,0.05810847848748585,7.119931970430136,0.08641975308641975
GO,2262,-0.06918116691917799,6.767927601092674,0.07824933687002653
RR,50,-0.08810693917164776,8.863096275331657,0.16
PA,1048,-0.14120262529566507,7.213928982610154,0.09637404580152671
MT,1036,-0.20474056496511744,7.022353456669107,0.08976833976833977
RJ,14250,-0.2621094206595225,5.314817422912201,0.03129824561403509
TO,309,-0.26770565076018366,6.729449794305168,0.061488673139158574
SC,4093,-0.3491202930379547,6.446872534762702,0.061812851209381875
DF,2383,-0.4291943906805408,6.237454782689491,0.0663029794376836
RO,271,-0.5715676514360916,7.324562185355783,0.1033210332103321
PR,5657,-0.7731531390256875,5.830073490644772,0.054445819338872194
RN,521,-0.9228125103932132,6.030577357052074,0.06333973128598848
MS,820,-0.9288471308230385,5.669897945423108,0.05609756097560976
ES,2219,-1.1043891007441817,6.15122518993305,0.059486255069851286
SE,381,-1.1681995668831024,6.785876801648498,0.08661417322834646
CE,1454,-1.4750461958080292,6.571057577872131,0.07083906464924347
PB,586,-1.4938528788773924,7.075015530888863,0.09556313993174062
PI,531,-1.664119231001686,6.1892254458291145,0.064030131826742
BA,3708,-1.6831578901996058,6.285488709172658,0.0674217907227616
PE,1773,-1.7192150625520182,6.419185370833844,0.06542583192329385
MA,812,-2.1760469432051175,5.8026611857038475,0.06527093596059114
AL,441,-2.23200479346585,6.474085148840644,0.07256235827664399
