product_category_name,n,mean_tau,p90_tau,top10_share
cds_dvds_musicais,14,3.032352800959805,8.174202429462882,0.21428571428571427
fashion_roupa_infanto_juvenil,8,2.7338120108436113,7.417339952675736,0.125
dvds_blu_ray,63,2.3495503697235325,7.651767920681927,0.14285714285714285
fashion_roupa_masculina,131,2.0048586942782434,8.855274816605823,0.13740458015267176
fashion_calcados,261,1.9495027991584397,6.822274224669218,0.08812260536398467
livros_importados,60,1.6107760193996563,5.377356559858837,0.05
fashion_bolsas_e_acessorios,2039,1.3029161981822217,7.753397266231765,0.11476213830308975
artigos_de_natal,146,1.1764358551761631,6.904912967600174,0.0821917808219178
malas_acessorios,1088,1.1614706909964192,15.366528625228081,0.18106617647058823
construcao_ferramentas_ferramentas,99,1.147504382324407,10.307909985525809,0.1414141414141414
pet_shop,1939,1.1454834803381355,8.712205024092198,0.1376998452810727
artes,207,1.1285593144026875,6.139453255936053,0.05314009661835749
beleza_saude,9642,1.126292592616466,8.585773694178519,0.14561294337274425
bebidas,377,1.0168089764469312,7.84009930857275,0.10610079575596817
papelaria,2507,0.9553506720384155,7.462778040040083,0.10370961308336657
fashion_underwear_e_moda_praia,130,0.9490966285691461,5.663478315982709,0.05384615384615385
esporte_lazer,8640,0.9387823605192303,8.824544695542405,0.1443287037037037
seguros_e_servicos,2,0.9311580095643472,4.636739756115712,0.0
market_place,309,0.9007808980222262,6.372401445406622,0.061488673139158574
brinquedos,4091,0.8740513187712743,7.598767533399965,0.108530921535077
perfumaria,3421,0.846923227213899,7.543455483467708,0.11137094416837182
alimentos_bebidas,279,0.8179819675822838,6.726743538775013,0.07885304659498207
cine_foto,73,0.7964234471941263,8.387473296148958,0.1232876712328767
bebes,3047,0.782465189356591,7.387234444863138,0.1063340991138825
cool_stuff,3772,0.7583805142157397,7.552273395092074,0.1052492046659597
musica,38,0.6943634897075075,7.270128446945712,0.10526315789473684
consoles_games,1127,0.6825859004072425,7.2541366615208895,0.09760425909494233
alimentos,495,0.5763021357554752,5.681828644430809,0.03838383838383838
tablets_impressao_imagem,81,0.5394285808263125,5.096644653976945,0.024691358024691357
artigos_de_festas,43,0.5144980339470124,8.256702119757684,0.13953488372093023
flores,31,0.47017321405741136,4.662757888928335,0.0
livros_tecnicos,266,0.37588319392050534,5.88790733165813,0.05639097744360902
moveis_decoracao,8331,0.31735833560265375,7.48837885725783,0.11007081982955227
instrumentos_musicais,675,0.3120904021953392,6.813377413594596,0.08888888888888889
industria_comercio_e_negocios,266,0.30332308732837227,8.008636380988166,0.12030075187969924
eletrodomesticos,806,0.29973559733483235,6.0942436440437255,0.05955334987593052
fashion_esporte,31,0.2987297260556982,4.827913926215669,0.03225806451612903
la_cuisine,13,0.2889720905890041,6.336550404074572,0.07692307692307693
construcao_ferramentas_construcao,926,0.2544431637921954,6.837152697882072,0.09611231101511879
portateis_cozinha_e_preparadores_de_alimentos,15,0.2146439655603056,4.571736685625464,0.0
climatizacao,292,0.20934329278188973,7.879665671636926,0.1095890410958904
telefonia,4517,0.20078870822664463,6.657141487626906,0.07261456719061324
artes_e_artesanato,24,0.1885896746993009,4.623138016921746,0.0
eletroportateis,677,0.14878147419197776,7.220011334510095,0.09896602658788774
informatica_acessorios,7849,0.14011797209598228,9.672808063489436,0.13555866989425405
ferramentas_jardim,4329,0.13868426035520934,7.336829302746118,0.10117810117810118
agro_industria_e_comercio,212,0.10283563189475475,7.030228565394373,0.09433962264150944
livros_interesse_geral,549,0.10087007753494379,6.260634675081006,0.06739526411657559
pc_gamer,9,0.08336044342242992,6.212639479661199,0.1111111111111111
casa_construcao,600,-0.06337056845564502,6.529051579374246,0.08
eletronicos,2749,-0.064011824240091,6.3404929047504215,0.06911604219716261
construcao_ferramentas_jardim,240,-0.132964236752151,6.077125166009211,0.07083333333333333
construcao_ferramentas_iluminacao,296,-0.15476369255635472,6.027300069336922,0.060810810810810814
relogios_presentes,5950,-0.18489205760113295,6.783403544107812,0.08621848739495798
automotivo,4213,-0.249797274858764,6.630117151697837,0.08093994778067885
telefonia_fixa,262,-0.30005827321580286,7.495600552764294,0.1183206106870229
moveis_sala,502,-0.31776694659967214,11.607052650952376,0.15139442231075698
audio,361,-0.3218345654734614,6.34872342580292,0.0664819944598338
casa_conforto,435,-0.5763640772069933,6.049955587281623,0.07126436781609195
construcao_ferramentas_seguranca,193,-0.6240996178848991,5.865757870964094,0.05699481865284974
moveis_cozinha_area_de_servico_jantar_e_jardim,280,-0.705611431679817,5.900792799274985,0.04642857142857143
fashion_roupa_feminina,50,-0.9936586624771216,6.347618635824534,0.04
sinalizacao_e_seguranca,197,-1.1270053895992633,4.853828745229959,0.04568527918781726
utilidades_domesticas,6943,-1.5025015700773348,7.404977179229512,0.1022612703442316
cama_mesa_banho,11137,-1.6706751233690253,4.231451243950151,0.02190895214151028
portateis_casa_forno_e_cafe,76,-1.7667393650570817,5.17030690131112,0.039473684210526314
moveis_quarto,110,-2.040558657786263,5.043501985825686,0.07272727272727272
eletrodomesticos_2,238,-2.085888069807473,8.40895442804663,0.12184873949579832
moveis_escritorio,1687,-2.284003993174051,6.785064885120223,0.06520450503852994
fraldas_higiene,39,-3.56010341593975,2.1859262844413263,0.0
casa_conforto_2,27,-4.722750574422307,7.948683485236532,0.14814814814814814
moveis_colchao_e_estofado,38,-4.910520269645475,2.504896824740614,0.05263157894736842
pcs,200,-5.395721809172111,-0.8217138108881342,0.03
