seller_state,n,mean_tau,p90_tau,top10_share
PA,8,8.545818815345168,17.934848152834252,0.5
MG,8589,3.1562038769650513,16.90259575935785,0.28548142973570845
RS,2142,2.4843162540696793,15.731658610842398,0.25910364145658266
PI,12,2.164742434594814,5.8851234294807195,0.08333333333333333
MS,49,1.8826194023503917,17.217581018174098,0.2653061224489796
AM,3,1.603915785037359,5.863907997385815,0.0
GO,508,1.5568029996024972,10.84371372462028,0.2204724409448819
SC,4040,1.524960687234411,11.25659870891614,0.17376237623762375
DF,890,1.3145244284857869,10.462514545298767,0.19325842696629214
AC,1,1.2037770787700852,1.2037770787700852,0.0
PR,8622,1.1716467662703114,12.775553854343068,0.17501739735560196
RJ,4706,0.8930712183522355,10.704907067038556,0.20739481512962177
RO,14,0.7596120524035953,13.253134201841723,0.2857142857142857
MA,399,0.7419944713408887,11.047741796571392,0.2957393483709273
MT,145,0.7031273531135546,9.453252962211907,0.19310344827586207
ES,360,-0.22529002129819287,8.829752694619971,0.15833333333333333
CE,94,-0.3942293561680629,11.099218738049426,0.2127659574468085
SE,10,-0.5170149938407065,2.415724671566498,0.1
SP,79000,-0.5318699543101252,5.928947883589354,0.05322784810126582
RN,56,-1.5983586870242825,8.24939605492634,0.125
BA,643,-2.0490526648184284,8.81721291687375,0.1321928460342146
PE,445,-2.7875267575179166,7.990690176401092,0.11910112359550562
PB,34,-4.334816443394297,4.783753349098172,0.08823529411764706
